States,Diabetes Status,Age Group,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,,35-49 Years,0,0,0,0,1,0,0,0,0,0,1,4,1,2,1,2,7,6,12,22,35,33,41,29,32,32,32,28,23,8,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,1,2,2,1,3,3,5,4,6,8,10,24,30,53,54,40,46,32,41,34,29,23,17,8,0,0,0,0,0,0
,,65 +,0,0,0,0,1,0,1,0,1,3,1,0,0,1,5,1,7,12,16,13,11,9,13,10,6,7,3,2,5,0,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,5,9,9,19,61,80,99,240,315,323,342,333,348,300
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,3,3,6
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,9,3,4,5
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,7,5,8,13,12,15
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,16,11,17,43,91,91,96,93,104,94
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,3,6,8,23,32,44,103,99,121,119,110,132,114
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,2,4,18,26,29,74,94,84,96,97,84,63
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,10,8,14,14,15,8,14,9,3
Michigan,All Diabetes,All Recipient Ages,579,581,514,499,580,634,547,607,566,555,590,566,520,521,595,578,571,588,573,594,549,541,492,481,465,465,453,419,430,403,388,398,402,331,310,286
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0
,,1-5 Years,10,6,9,11,8,4,5,7,14,3,8,4,7,4,3,6,2,7,2,3,9,5,5,2,0,8,3,5,5,2,10,6,5,3,2,3
,,6-10 Years,5,4,4,2,5,6,5,2,6,3,8,3,3,1,3,3,3,2,7,5,1,4,4,5,7,5,7,4,3,7,6,7,7,5,6,4
,,11-17 Years,11,18,9,8,13,13,6,15,9,15,15,15,7,17,11,14,16,24,27,18,14,15,12,18,8,18,15,13,10,16,24,15,17,7,12,11
,,18-34 Years,56,49,52,55,66,82,62,68,67,60,70,70,69,50,61,78,73,70,74,106,89,104,114,99,99,96,112,101,102,128,94,115,133,105,99,75
,,35-49 Years,137,125,141,127,129,149,139,165,185,147,146,133,127,131,185,150,154,166,175,186,169,187,163,166,167,164,152,157,164,144,143,163,142,139,110,111
,,50-64 Years,206,226,169,201,214,262,224,222,182,216,223,230,220,227,240,239,240,245,220,211,210,192,157,168,151,138,144,118,126,89,91,80,88,62,73,73
,,65 +,154,153,130,95,145,118,106,128,103,111,120,111,87,91,92,88,83,74,68,65,57,34,36,23,33,36,20,21,20,17,19,11,10,8,7,9
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,1,2,3,2,1,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,1,1,0,2,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,376,372,335,337,365,426,360,377,395,357,377,358,318,337,384,392,347,392,384,381,376,371,340,341,294,285,272,225,204,64,1,3,7,0,2,0
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1-5 Years,10,6,9,10,8,4,5,7,14,3,7,4,7,4,3,6,2,7,2,3,9,5,5,2,0,8,3,5,5,0,0,0,0,0,0,0
,,6-10 Years,5,4,4,2,5,6,5,2,6,3,8,3,3,1,3,3,3,2,7,5,1,4,4,5,7,5,6,4,3,5,0,0,2,0,0,0
,,11-17 Years,11,18,9,8,12,12,6,15,9,15,15,13,7,16,11,14,16,24,27,18,12,15,12,18,8,17,14,11,10,3,1,1,1,0,1,0
,,18-34 Years,48,42,44,52,61,72,56,60,62,51,64,63,62,45,56,72,62,59,61,87,71,88,92,85,71,64,80,59,52,27,0,0,3,0,0,0
,,35-49 Years,106,92,104,98,86,109,105,119,141,107,103,96,86,91,141,113,114,119,129,125,133,132,114,120,102,95,81,71,77,15,0,1,1,0,1,0
,,50-64 Years,113,133,96,120,113,160,127,125,109,123,123,127,118,135,127,140,112,136,125,112,122,112,91,100,88,72,75,57,47,10,0,1,0,0,0,0
,,65 +,83,77,69,47,80,63,56,49,54,55,57,52,35,45,43,44,38,45,33,31,28,15,21,11,18,24,13,18,10,4,0,0,0,0,0,0
,Type I,All Recipient Ages,23,23,31,22,29,27,29,31,25,24,25,24,36,27,31,37,44,41,27,23,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,,1-5 Years,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,3,5,7,2,3,4,3,5,5,4,2,4,5,1,2,5,7,8,7,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,,35-49 Years,11,10,9,10,11,11,14,12,9,11,12,9,10,14,16,18,22,24,18,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,5,8,11,7,10,12,10,14,9,8,10,9,19,12,13,13,13,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,4,0,4,2,4,0,2,0,2,1,0,1,2,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,171,183,147,139,185,176,157,198,143,169,182,179,155,148,165,133,142,109,84,33,7,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,4,2,1,1,2,6,3,2,0,5,4,2,1,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,18,22,28,18,32,28,20,34,34,28,30,28,26,24,24,15,14,9,12,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,,50-64 Years,83,85,61,74,90,87,86,83,64,82,87,92,80,75,94,76,89,78,52,22,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,66,74,57,46,61,55,48,79,45,54,61,57,48,46,45,41,38,21,18,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,8,3,1,1,0,2,1,0,1,1,0,2,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,1,0,0,0,1,3,0,1,2,4,6,3,1,7,10,10,36,43,74,154,154,159,145,134,153,134,106,92,72,27,1,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,4,14,14,15,19,14,23,21,15,16,18,6,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,3,14,14,43,29,53,47,44,56,51,42,46,26,16,1,0,0,0,0,0
,,50-64 Years,1,0,0,0,1,3,0,0,0,3,3,2,1,4,6,7,26,22,40,73,84,72,65,64,61,51,47,27,23,4,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,1,1,2,1,0,0,3,2,5,6,16,24,25,19,14,12,13,11,2,2,5,1,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3,5,5,6,17,46,73,102,153,312,385,395,395,330,308,286
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,6,5,3,2,3
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,7,5,5,6,4
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,13,23,14,16,7,11,11
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,5,11,16,26,31,95,93,115,130,105,99,75
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,8,18,28,40,61,113,142,162,141,138,109,111
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,4,2,15,22,34,56,75,91,79,88,62,73,73
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,5,12,19,11,10,8,7,9
Minnesota,All Diabetes,All Recipient Ages,507,601,541,454,506,463,492,496,464,399,388,406,425,457,447,464,482,563,551,574,553,491,533,489,406,373,358,365,367,333,354,330,337,311,273,264
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,1,2,0,3,1,1,2,4,2,1,1,3,2,3,1
,,1-5 Years,5,4,12,6,1,6,5,5,10,6,4,8,6,2,4,9,8,10,6,8,3,2,12,4,8,4,9,10,6,5,18,10,10,10,11,14
,,6-10 Years,5,4,1,4,4,5,4,3,5,6,5,5,5,2,5,7,9,6,7,2,8,4,7,3,4,5,7,8,8,8,3,5,6,9,7,7
,,11-17 Years,10,13,18,9,18,13,10,13,10,8,20,16,12,10,17,20,14,18,14,16,22,17,11,11,20,14,17,12,17,16,9,15,15,11,10,12
,,18-34 Years,53,75,64,50,65,55,75,78,69,55,58,62,45,67,50,56,62,81,64,84,76,91,80,71,71,70,72,79,80,84,96,78,106,90,75,96
,,35-49 Years,117,148,147,109,106,88,115,121,111,104,88,93,117,125,105,124,132,161,162,175,164,155,178,181,116,128,120,129,127,118,122,109,119,109,91,68
,,50-64 Years,184,208,184,169,195,204,185,186,168,155,149,132,167,162,170,165,188,212,204,207,213,162,184,163,140,107,98,101,102,76,83,89,61,64,62,53
,,65 +,133,149,115,107,117,92,98,90,91,65,64,90,73,89,95,83,69,72,93,81,67,59,59,56,44,44,34,24,23,24,22,23,17,16,14,13
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,1,0,0,3,5,0,1,0,1,4,0,1,1,1,6,31,15,1,1,1,1,1,0,0,0,0,0,0
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,6,1,0,1,0,0,1,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,2,15,1,1,0,0,1,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,7,6,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0
,No,All Recipient Ages,367,427,397,346,369,348,368,377,342,292,288,295,289,329,325,329,335,370,375,386,362,319,351,306,267,259,241,224,186,94,1,0,2,1,0,0
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,1,2,0,2,1,1,2,4,1,0,0,0,0,0,0
,,1-5 Years,5,4,12,6,1,6,5,5,10,6,4,7,4,2,4,9,8,10,6,8,3,2,12,2,6,4,9,8,6,3,0,0,0,1,0,0
,,6-10 Years,5,4,1,4,4,5,4,3,5,6,5,5,4,2,5,7,9,6,7,2,8,4,7,3,4,5,6,8,8,5,0,0,0,0,0,0
,,11-17 Years,10,13,18,9,17,13,10,13,10,8,20,12,10,10,17,19,14,18,13,16,22,17,11,11,19,14,17,10,15,11,0,0,0,0,0,0
,,18-34 Years,49,73,61,49,61,53,72,76,62,50,52,60,42,62,49,46,53,64,53,71,61,70,59,53,54,52,45,58,49,28,0,0,0,0,0,0
,,35-49 Years,96,110,118,96,89,72,101,101,89,83,72,75,91,104,85,94,97,101,105,113,106,97,112,110,73,82,78,72,47,27,1,0,2,0,0,0
,,50-64 Years,125,140,122,113,133,140,125,128,111,103,94,87,101,94,105,101,113,126,123,128,120,94,111,96,81,68,60,53,44,14,0,0,0,0,0,0
,,65 +,77,83,65,69,64,59,51,51,55,36,41,49,37,55,59,53,41,42,67,47,42,34,37,31,28,33,25,13,13,5,0,0,0,0,0,0
,Type I,All Recipient Ages,13,12,30,20,29,22,16,30,36,26,31,29,32,30,34,56,58,78,59,34,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,3,1,3,1,2,1,1,2,6,2,5,2,1,3,1,8,7,14,6,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,4,2,9,7,5,5,5,8,12,10,7,7,14,11,9,22,24,36,30,19,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,4,5,13,9,15,13,6,16,15,10,17,14,15,13,20,24,26,25,21,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,2,4,5,3,6,3,4,4,3,4,2,5,2,3,4,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,120,155,109,86,105,91,106,89,84,79,66,77,96,91,85,73,72,72,73,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,1,0,0,2,1,2,0,1,2,0,0,2,1,0,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,17,35,19,6,11,10,9,12,9,11,8,10,11,9,11,7,6,9,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,52,60,46,45,46,50,54,42,42,41,38,31,49,51,43,36,38,42,41,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,50,59,44,35,46,30,41,35,32,25,20,36,34,30,31,28,27,19,17,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,7,7,5,2,2,2,1,0,1,1,1,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,3,3,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,4,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,0,0,1,0,1,0,0,1,2,1,2,5,2,6,16,39,42,127,186,169,174,147,116,101,90,85,100,50,0,0,1,2,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,15,21,17,11,15,16,16,10,17,13,0,0,0,1,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,5,13,13,38,56,56,64,56,36,38,33,39,49,23,0,0,1,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,4,11,18,19,58,91,67,71,58,52,36,34,27,29,12,0,0,0,1,0,0
,,65 +,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,7,7,24,24,25,22,22,13,11,7,8,5,2,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,7,10,26,55,80,188,353,330,334,308,273,264
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,3,1
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,18,10,10,9,11,14
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,5,6,9,7,7
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,9,15,15,11,10,12
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,10,11,14,42,96,78,106,89,75,96
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,7,9,18,30,68,121,109,116,109,91,68
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,4,21,29,50,83,89,61,63,62,53
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,17,22,23,17,16,14,13
Mississippi,All Diabetes,All Recipient Ages,125,132,139,125,124,129,122,140,84,85,103,103,71,55,75,87,102,10,14,26,28,34,30,24,31,48,27,40,38,47,28,13,24,22,14,21
,,1-5 Years,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6-10 Years,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
,,11-17 Years,1,0,3,3,0,2,0,2,3,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,3,3,3,1,5,1,0,3,2,1,0
,,18-34 Years,11,12,16,11,19,18,16,15,12,11,12,12,11,11,17,16,22,1,4,10,4,1,8,4,9,18,8,13,11,15,6,6,12,5,7,9
,,35-49 Years,29,34,46,43,37,36,31,46,24,21,30,43,23,19,26,30,48,4,6,4,11,19,11,10,15,21,8,17,19,13,11,4,6,8,2,6
,,50-64 Years,57,48,54,44,45,50,53,52,30,42,44,31,28,19,28,30,29,5,4,12,13,12,10,10,6,5,8,7,7,14,9,3,2,6,4,5
,,65 +,24,37,18,22,22,22,22,25,13,11,15,15,8,6,4,9,3,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,78,75,83,71,69,89,79,90,60,53,63,71,44,41,57,60,78,7,7,21,20,28,24,15,24,39,20,26,25,5,0,0,0,0,0,0
,,1-5 Years,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6-10 Years,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,1,0,3,3,0,2,0,2,3,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,3,2,2,1,1,0,0,0,0,0,0
,,18-34 Years,9,12,14,9,17,18,15,14,11,11,9,12,7,10,12,14,21,1,3,9,2,1,7,4,7,12,5,13,7,3,0,0,0,0,0,0
,,35-49 Years,17,20,30,29,25,28,20,30,19,13,19,31,17,17,21,17,39,4,4,3,9,16,8,5,13,19,7,8,12,0,0,0,0,0,0,0
,,50-64 Years,35,26,27,21,19,28,32,29,19,22,23,17,16,11,20,23,15,2,0,9,9,10,8,6,3,4,6,3,5,1,0,0,0,0,0,0
,,65 +,13,16,7,7,7,12,12,15,6,7,10,9,3,3,4,4,3,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
,Type I,All Recipient Ages,0,1,5,3,1,1,2,1,2,0,3,3,4,2,3,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,2,1,0,0,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,2,0,0,0,0,1,1,0,2,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,1,3,1,0,1,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,44,53,45,46,48,39,40,45,21,26,12,15,10,7,8,20,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,2,0,2,0,1,0,1,1,0,0,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,12,13,13,12,10,8,10,12,4,6,2,4,1,0,0,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,21,20,19,21,24,21,20,22,10,17,6,8,6,5,6,6,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,9,20,11,13,13,10,9,10,7,3,2,3,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,3,3,5,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,1,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,1,0,1,0,1,4,1,5,24,14,12,5,3,1,6,1,5,4,8,5,5,9,6,1,4,8,3,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,2,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,1,3,0,1,6,7,3,1,1,1,3,0,1,1,2,3,3,5,2,0,0,5,1,0,0,0,0,0,0,0
,,50-64 Years,0,0,1,0,0,0,0,1,0,3,15,5,3,3,1,0,3,1,4,2,4,1,2,4,3,0,2,3,1,0,0,0,0,0,0,0
,,65 +,0,0,0,0,1,0,0,0,0,1,3,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8,2,6,10,42,28,13,23,22,14,21
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
